spread,decade,mean_leverage,min_leverage,max_leverage,years
0.0,20,3.0,3.0,3.0,5
0.0,30,2.1,1.5,3.0,10
0.0,40,1.5,1.5,1.5,10
0.0,50,1.475,1.25,1.5,10
0.0,60,1.125,1.0,1.25,10
0.0,70,1.1,1.0,1.25,10
0.0,80,1.15,1.0,1.25,10
0.0,90,1.1666666666666667,1.0,1.5,3
0.01,20,3.0,3.0,3.0,5
0.01,30,1.9,1.5,3.0,10
0.01,40,1.475,1.25,1.5,10
0.01,50,1.35,1.25,1.5,10
0.01,60,1.075,1.0,1.25,10
0.01,70,1.1,1.0,1.25,10
0.01,80,1.175,1.0,1.25,10
0.01,90,1.0,1.0,1.0,3
0.02,20,3.0,3.0,3.0,5
0.02,30,1.65,1.5,2.5,10
0.02,40,1.3,1.25,1.5,10
0.02,50,1.225,1.0,1.25,10
0.02,60,1.0,1.0,1.0,10
0.02,70,1.025,1.0,1.25,10
0.02,80,1.025,1.0,1.25,10
0.02,90,1.0,1.0,1.0,3
