spread,age,leverage,solved_cec,phase
0.0,25,3.0,1.098196319967637,working
0.0,26,3.0,1.098196319967637,working
0.0,27,3.0,1.098196319967637,working
0.0,28,3.0,1.098196319967637,working
0.0,29,3.0,1.098196319967637,working
0.0,30,2.5,1.098196319967637,working
0.0,31,2.5,1.098196319967637,working
0.0,32,1.5,1.098196319967637,working
0.0,33,1.5,1.098196319967637,working
0.0,34,2.0,1.098196319967637,working
0.0,35,1.5,1.098196319967637,working
0.0,36,1.5,1.098196319967637,working
0.0,37,1.5,1.098196319967637,working
0.0,38,1.5,1.098196319967637,working
0.0,39,1.5,1.098196319967637,working
0.0,40,1.5,1.098196319967637,working
0.0,41,1.5,1.098196319967637,working
0.0,42,1.5,1.098196319967637,working
0.0,43,1.5,1.098196319967637,working
0.0,44,1.25,1.098196319967637,working
0.0,45,1.25,1.098196319967637,working
0.0,46,1.5,1.098196319967637,working
0.0,47,1.25,1.098196319967637,working
0.0,48,1.25,1.098196319967637,working
0.0,49,1.5,1.098196319967637,working
0.0,50,1.25,1.098196319967637,working
0.0,51,1.5,1.098196319967637,working
0.0,52,1.25,1.098196319967637,working
0.0,53,1.5,1.098196319967637,working
0.0,54,1.25,1.098196319967637,working
0.0,55,1.25,1.098196319967637,working
0.0,56,1.25,1.098196319967637,working
0.0,57,1.25,1.098196319967637,working
0.0,58,1.25,1.098196319967637,working
0.0,59,1.25,1.098196319967637,working
0.0,60,1.25,1.098196319967637,working
0.0,61,1.25,1.098196319967637,working
0.0,62,1.0,1.098196319967637,working
0.0,63,1.0,1.098196319967637,retired
0.0,64,1.0,1.098196319967637,retired
0.0,65,1.0,1.098196319967637,retired
0.0,66,1.0,1.098196319967637,retired
0.0,67,1.0,1.098196319967637,retired
0.0,68,1.0,1.098196319967637,retired
0.0,69,1.0,1.098196319967637,retired
0.0,70,1.0,1.098196319967637,retired
0.0,71,1.0,1.098196319967637,retired
0.0,72,1.0,1.098196319967637,retired
0.0,73,1.25,1.098196319967637,retired
0.0,74,1.25,1.098196319967637,retired
0.0,75,1.25,1.098196319967637,retired
0.0,76,1.25,1.098196319967637,retired
0.0,77,1.25,1.098196319967637,retired
0.0,78,1.25,1.098196319967637,retired
0.0,79,1.25,1.098196319967637,retired
0.0,80,1.25,1.098196319967637,retired
0.0,81,1.25,1.098196319967637,retired
0.0,82,1.25,1.098196319967637,retired
0.0,83,1.25,1.098196319967637,retired
0.0,84,1.25,1.098196319967637,retired
0.0,85,1.0,1.098196319967637,retired
0.0,86,1.0,1.098196319967637,retired
0.0,87,1.0,1.098196319967637,retired
0.0,88,1.25,1.098196319967637,retired
0.0,89,1.0,1.098196319967637,retired
0.0,90,1.0,1.098196319967637,retired
0.0,91,1.0,1.098196319967637,retired
0.0,92,1.0,1.098196319967637,retired
0.01,25,3.0,1.0741530886359523,working
0.01,26,3.0,1.0741530886359523,working
0.01,27,3.0,1.0741530886359523,working
0.01,28,3.0,1.0741530886359523,working
0.01,29,3.0,1.0741530886359523,working
0.01,30,2.5,1.0741530886359523,working
0.01,31,1.5,1.0741530886359523,working
0.01,32,1.5,1.0741530886359523,working
0.01,33,1.5,1.0741530886359523,working
0.01,34,1.5,1.0741530886359523,working
0.01,35,1.5,1.0741530886359523,working
0.01,36,1.5,1.0741530886359523,working
0.01,37,1.5,1.0741530886359523,working
0.01,38,1.5,1.0741530886359523,working
0.01,39,1.25,1.0741530886359523,working
0.01,40,1.25,1.0741530886359523,working
0.01,41,1.25,1.0741530886359523,working
0.01,42,1.5,1.0741530886359523,working
0.01,43,1.25,1.0741530886359523,working
0.01,44,1.25,1.0741530886359523,working
0.01,45,1.25,1.0741530886359523,working
0.01,46,1.25,1.0741530886359523,working
0.01,47,1.25,1.0741530886359523,working
0.01,48,1.25,1.0741530886359523,working
0.01,49,1.25,1.0741530886359523,working
0.01,50,1.25,1.0741530886359523,working
0.01,51,1.25,1.0741530886359523,working
0.01,52,1.25,1.0741530886359523,working
0.01,53,1.25,1.0741530886359523,working
0.01,54,1.25,1.0741530886359523,working
0.01,55,1.25,1.0741530886359523,working
0.01,56,1.25,1.0741530886359523,working
0.01,57,1.25,1.0741530886359523,working
0.01,58,1.0,1.0741530886359523,working
0.01,59,1.0,1.0741530886359523,working
0.01,60,1.0,1.0741530886359523,working
0.01,61,1.0,1.0741530886359523,working
0.01,62,1.0,1.0741530886359523,working
0.01,63,1.0,1.0741530886359523,retired
0.01,64,1.0,1.0741530886359523,retired
0.01,65,1.0,1.0741530886359523,retired
0.01,66,1.0,1.0741530886359523,retired
0.01,67,1.0,1.0741530886359523,retired
0.01,68,1.0,1.0741530886359523,retired
0.01,69,1.0,1.0741530886359523,retired
0.01,70,1.0,1.0741530886359523,retired
0.01,71,1.0,1.0741530886359523,retired
0.01,72,1.0,1.0741530886359523,retired
0.01,73,1.0,1.0741530886359523,retired
0.01,74,1.0,1.0741530886359523,retired
0.01,75,1.25,1.0741530886359523,retired
0.01,76,1.0,1.0741530886359523,retired
0.01,77,1.0,1.0741530886359523,retired
0.01,78,1.0,1.0741530886359523,retired
0.01,79,1.0,1.0741530886359523,retired
0.01,80,1.0,1.0741530886359523,retired
0.01,81,1.0,1.0741530886359523,retired
0.01,82,1.0,1.0741530886359523,retired
0.01,83,1.0,1.0741530886359523,retired
0.01,84,1.0,1.0741530886359523,retired
0.01,85,1.0,1.0741530886359523,retired
0.01,86,1.25,1.0741530886359523,retired
0.01,87,1.0,1.0741530886359523,retired
0.01,88,1.25,1.0741530886359523,retired
0.01,89,1.0,1.0741530886359523,retired
0.01,90,1.25,1.0741530886359523,retired
0.01,91,1.0,1.0741530886359523,retired
0.01,92,1.0,1.0741530886359523,retired
0.02,25,3.0,1.0577562453552303,working
0.02,26,3.0,1.0577562453552303,working
0.02,27,3.0,1.0577562453552303,working
0.02,28,3.0,1.0577562453552303,working
0.02,29,3.0,1.0577562453552303,working
0.02,30,1.5,1.0577562453552303,working
0.02,31,1.5,1.0577562453552303,working
0.02,32,1.5,1.0577562453552303,working
0.02,33,1.5,1.0577562453552303,working
0.02,34,1.5,1.0577562453552303,working
0.02,35,1.5,1.0577562453552303,working
0.02,36,1.5,1.0577562453552303,working
0.02,37,1.25,1.0577562453552303,working
0.02,38,1.5,1.0577562453552303,working
0.02,39,1.25,1.0577562453552303,working
0.02,40,1.25,1.0577562453552303,working
0.02,41,1.25,1.0577562453552303,working
0.02,42,1.25,1.0577562453552303,working
0.02,43,1.25,1.0577562453552303,working
0.02,44,1.0,1.0577562453552303,working
0.02,45,1.0,1.0577562453552303,working
0.02,46,1.25,1.0577562453552303,working
0.02,47,1.0,1.0577562453552303,working
0.02,48,1.0,1.0577562453552303,working
0.02,49,1.0,1.0577562453552303,working
0.02,50,1.0,1.0577562453552303,working
0.02,51,1.25,1.0577562453552303,working
0.02,52,1.0,1.0577562453552303,working
0.02,53,1.25,1.0577562453552303,working
0.02,54,1.0,1.0577562453552303,working
0.02,55,1.0,1.0577562453552303,working
0.02,56,1.0,1.0577562453552303,working
0.02,57,1.0,1.0577562453552303,working
0.02,58,1.0,1.0577562453552303,working
0.02,59,1.0,1.0577562453552303,working
0.02,60,1.0,1.0577562453552303,working
0.02,61,1.0,1.0577562453552303,working
0.02,62,1.0,1.0577562453552303,working
0.02,63,1.0,1.0577562453552303,retired
0.02,64,1.0,1.0577562453552303,retired
0.02,65,1.0,1.0577562453552303,retired
0.02,66,1.0,1.0577562453552303,retired
0.02,67,1.0,1.0577562453552303,retired
0.02,68,1.0,1.0577562453552303,retired
0.02,69,1.0,1.0577562453552303,retired
0.02,70,1.0,1.0577562453552303,retired
0.02,71,1.0,1.0577562453552303,retired
0.02,72,1.0,1.0577562453552303,retired
0.02,73,1.0,1.0577562453552303,retired
0.02,74,1.0,1.0577562453552303,retired
0.02,75,1.0,1.0577562453552303,retired
0.02,76,1.0,1.0577562453552303,retired
0.02,77,1.0,1.0577562453552303,retired
0.02,78,1.0,1.0577562453552303,retired
0.02,79,1.0,1.0577562453552303,retired
0.02,80,1.0,1.0577562453552303,retired
0.02,81,1.0,1.0577562453552303,retired
0.02,82,1.0,1.0577562453552303,retired
0.02,83,1.0,1.0577562453552303,retired
0.02,84,1.0,1.0577562453552303,retired
0.02,85,1.0,1.0577562453552303,retired
0.02,86,1.0,1.0577562453552303,retired
0.02,87,1.0,1.0577562453552303,retired
0.02,88,1.0,1.0577562453552303,retired
0.02,89,1.0,1.0577562453552303,retired
0.02,90,1.0,1.0577562453552303,retired
0.02,91,1.0,1.0577562453552303,retired
0.02,92,1.0,1.0577562453552303,retired
