system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
us,1.0,0.5499195211211076,0.19575,0.6278120195272322,100000,0.5760157428256316,50,25,43,0.4319793894559076,0.2736387818212827
us,1.05,0.5454865401972239,0.19575,0.6278120195272322,100000,0.5701994363944545,50,25,43,0.4319793894559076,0.2736387818212827
us,1.1,0.5405871907048306,0.19575,0.6278120195272322,100000,0.5638391936636233,50,25,43,0.4319793894559076,0.2736387818212827
us,1.15,0.5352324147033792,0.19575,0.6278120195272322,100000,0.5569656169584019,50,25,43,0.4319793894559076,0.2736387818212827
us,1.2,0.5294414004840833,0.19575,0.6278120195272322,100000,0.549619118920265,50,25,43,0.4319793894559076,0.2736387818212827
us,1.25,0.5232409071849378,0.19575,0.6278120195272322,100000,0.5418481502403779,50,25,43,0.4319793894559076,0.2736387818212827
us,1.3,0.5166642507337479,0.19575,0.6278120195272322,100000,0.5337071214213005,50,25,43,0.4319793894559076,0.2736387818212827
us,1.4,0.5025407240953533,0.19575,0.6278120195272322,100000,0.5165491482047269,50,25,43,0.4319793894559076,0.2736387818212827
us,1.5,0.48741720628145296,0.19575,0.6278120195272322,100000,0.4986181977090221,50,25,43,0.4319793894559076,0.2736387818212827
us,1.75,0.4475549201520996,0.19575,0.6278120195272322,100000,0.45314801553847023,50,25,43,0.4319793894559076,0.2736387818212827
us,2.0,0.4083100251138852,0.19575,0.6278120195272322,100000,0.41032003998413574,50,25,43,0.4319793894559076,0.2736387818212827
us,1.0,0.6214804633579016,0.18519,0.7371641967969815,100000,0.6475336728639702,52,27,41,0.48540657615634303,0.3116278568075677
us,1.05,0.612823915038801,0.18519,0.7371641967969815,100000,0.6365157751719734,52,27,41,0.48540657615634303,0.3116278568075677
us,1.1,0.6035434869133813,0.18519,0.7371641967969815,100000,0.6248887750168299,52,27,41,0.48540657615634303,0.3116278568075677
us,1.15,0.5937174123631797,0.18519,0.7371641967969815,100000,0.612771868697092,52,27,41,0.48540657615634303,0.3116278568075677
us,1.2,0.5834322049886028,0.18519,0.7371641967969815,100000,0.6002863023748726,52,27,41,0.48540657615634303,0.3116278568075677
us,1.25,0.572778515329304,0.18519,0.7371641967969815,100000,0.5875500260999041,52,27,41,0.48540657615634303,0.3116278568075677
us,1.3,0.5618472727780883,0.18519,0.7371641967969815,100000,0.5746734849159525,52,27,41,0.48540657615634303,0.3116278568075677
us,1.4,0.5394981521204615,0.18519,0.7371641967969815,100000,0.5488873815019274,52,27,41,0.48540657615634303,0.3116278568075677
us,1.5,0.5170106068336386,0.18519,0.7371641967969815,100000,0.5235782370729011,52,27,41,0.48540657615634303,0.3116278568075677
us,1.75,0.4630878328602553,0.18519,0.7371641967969815,100000,0.4649292899663112,52,27,41,0.48540657615634303,0.3116278568075677
us,2.0,0.4152584930448833,0.18519,0.7371641967969815,100000,0.41467602614900184,52,27,41,0.48540657615634303,0.3116278568075677
us,1.0,0.7121656505896223,0.16931,0.9328529220926473,100000,0.7304770572252465,55,30,38,0.5823445124780893,0.37958166243645175
us,1.05,0.693569453213139,0.16931,0.9328529220926473,100000,0.7086851432526863,55,30,38,0.5823445124780893,0.37958166243645175
us,1.1,0.674821236113302,0.16931,0.9328529220926473,100000,0.6871141049600441,55,30,38,0.5823445124780893,0.37958166243645175
